sub_idx,resp_idx,sensor_idx,cf_alpha,cf_beta,pw_alpha,pw_beta,bw_alpha,bw_beta,off,exp
1,1,Frontal,9.08398894,16.72498124,0.393185782,0.280543968,1.87341335,1.565365065,1.56682104,2.001499957
1,1,Frontal,9.329597021,19.77817919,0.745283012,0.503862142,4.408282709,1.600670606,0.798715014,1.514723958
1,1,Frontal,9.530332695,23.29495658,0.67474841,0.291999042,5.470046498,4.846374962,0.468694518,1.337172385
1,1,Frontal,8.887046812,26.58821404,0.550091561,0.296146782,2.095496103,8.063020732,1.429678267,2.074931944
1,1,Frontal,8.344090528,27.32781093,0.368361188,0.526779742,3.880474351,3.656686131,1.290069517,2.06101145
1,1,Frontal,9.679567919,19.50535966,0.257517875,0.253054255,4.202126051,2.753553451,1.251328818,1.806028577
1,1,Frontal,9.158880679,20.93752724,0.539330122,0.349784648,4.346780089,0.570972943,1.080134264,1.694983861
1,1,Frontal,9.697438961,21.55816775,0.541350373,0.233564567,7.584697872,1.949055988,-0.154466412,0.820775295
1,1,Frontal,10.40335644,26.45991673,0.496262618,0.437176961,3.274992615,6.147243095,1.002079844,1.726699554
1,1,Frontal,9.476862689,17.82763921,0.60511299,0.263467796,2.77043861,2.023217127,0.571089458,1.284181206
1,1,Frontal,10.41459512,17.48199028,0.749947613,0.528912479,5.581873416,2.326990525,0.780971589,1.533650269
1,1,Frontal,11.83892911,15.11067628,0.322558606,0.385964866,2.482318208,0.526896331,1.978723509,2.101412132
1,1,Frontal,10.68023095,22.51451929,0.99317211,0.434588634,6.094448492,7.28286877,0.076304224,1.109443609
1,1,Frontal,8.973357385,23.12246791,0.591473974,0.575406019,4.445890126,3.996225241,1.279558128,1.741475551
1,1,Frontal,10.32635459,22.6343465,0.513902637,0.318853721,4.805248454,5.103478425,0.8748788,1.434257688
1,1,Frontal,11.96645412,16.72588906,0.335517334,0.395434914,2.231734859,5.412987762,1.216091075,1.747094307
1,1,Frontal,10.38697394,17.0748962,0.804346723,0.528879635,4.087766015,0.567444908,1.17336701,1.82815419
1,1,Frontal,10.82642733,23.9501541,0.539746258,0.362405862,4.954263505,4.518938775,1.936479232,2.298600404
1,1,Frontal,11.12787077,15.14049191,0.320481529,0.264609936,3.822403972,0.500000087,1.88222694,2.462839361
